#FFFFFF
#F0F0F0
#F9F9F9
#E0E0E0
#D3D3D3
#FAF0E6
#F5F5F5
#FFFAF0
#F8F8FF
#FFF5EE
#E6E6FA
#D8BFD8
#D3CCE3
#F4A6A3
#FBE8EB
#AEC6CF
#FFD1DC
#B5E7A0
#FFB6C1
#F4C2C2
#D1E8E2
#FF9AA2
#B2B2FF
#C9A0DC
#FAD02E
#FFCC00
#FF6600
#FF3399
#00BFFF
#FF6347
#32CD32
#00CED1
#FFD700
#FF1493
#DA70D6
#DC143C
#8A2BE2
#FF4500
#F5B7B1
#8FBC8F
#4682B4
#5F9EA0
#D2691E
#6495ED
#FF7F50
#9370DB
#D3D3D3
#3CB371
#7FFF00
#F4A300
#A9DFBF
#C1E1C1
#B7E4C7
#A3D9A5
#8FBC8F
#76D7C4
#A2D9CE
#D2B48C
#DEB887
#A52A2A
#8B4513
#D2691E
#B8860B
#C2B280
#E4D5B7
#B9D3B6
#B0E0E6
#5F9EA0
#4682B4
#7B68EE
#00BFFF
#1E90FF
#AFEEEE
#40E0D0
#48D1CC
#20B2AA
#00CED1
#7FFFD4
#D3D3D3
#BEBEBE
#A9A9A9
#808080
#D8D8D8
#B0B0B0
#C0C0C0
